Source,Target,Type,Label,Weight
530831326,198942020,Undirected,,1
530831326,201194175,Undirected,,1
530831326,212426402,Undirected,,1
530831326,231975013,Undirected,,1
530831326,240227068,Undirected,,1
530831326,240499964,Undirected,,1
530831326,256566957,Undirected,,1
530831326,260516994,Undirected,,1
530831326,271951181,Undirected,,1
530831326,273044801,Undirected,,1
530831326,306927097,Undirected,,1
530831326,326485172,Undirected,,1
530831326,327954205,Undirected,,1
530831326,370696693,Undirected,,1
530831326,370971887,Undirected,,1
530831326,392557336,Undirected,,1
530831326,399765404,Undirected,,1
530831326,408297843,Undirected,,1
530831326,430303668,Undirected,,1
530831326,434572139,Undirected,,1
530831326,436853573,Undirected,,1
530831326,455738115,Undirected,,1
530831326,507171396,Undirected,,1
487384614,3942112,Undirected,,1
487384614,69784318,Undirected,,1
487384614,73833759,Undirected,,1
487384614,87386082,Undirected,,1
487384614,90414831,Undirected,,1
487384614,91373845,Undirected,,1
487384614,105907262,Undirected,,1
487384614,106006649,Undirected,,1
487384614,128886044,Undirected,,1
487384614,134575187,Undirected,,1
487384614,148164935,Undirected,,1
487384614,157349881,Undirected,,1
487384614,166159611,Undirected,,1
487384614,175708115,Undirected,,1
487384614,176832012,Undirected,,1
487384614,177433545,Undirected,,1
487384614,178509567,Undirected,,1
487384614,182732698,Undirected,,1
487384614,183508108,Undirected,,1
487384614,185613271,Undirected,,1
487384614,186212848,Undirected,,1
487384614,187681835,Undirected,,1
487384614,197978588,Undirected,,1
487384614,204850831,Undirected,,1
487384614,207105275,Undirected,,1
487384614,208366287,Undirected,,1
487384614,209003980,Undirected,,1
487384614,213943259,Undirected,,1
487384614,215174334,Undirected,,1
487384614,217020702,Undirected,,1
487384614,218759722,Undirected,,1
487384614,220762119,Undirected,,1
487384614,225245865,Undirected,,1
487384614,229584380,Undirected,,1
487384614,232307029,Undirected,,1
487384614,234289850,Undirected,,1
487384614,240503598,Undirected,,1
487384614,241342859,Undirected,,1
487384614,241947786,Undirected,,1
487384614,246128052,Undirected,,1
487384614,254083059,Undirected,,1
487384614,255837855,Undirected,,1
487384614,255952957,Undirected,,1
487384614,256150080,Undirected,,1
487384614,257113250,Undirected,,1
487384614,258794125,Undirected,,1
487384614,259191946,Undirected,,1
487384614,261012025,Undirected,,1
487384614,261027617,Undirected,,1
487384614,265588841,Undirected,,1
487384614,266450851,Undirected,,1
487384614,278243574,Undirected,,1
487384614,278997670,Undirected,,1
487384614,279196322,Undirected,,1
487384614,280113897,Undirected,,1
487384614,286302478,Undirected,,1
487384614,290543336,Undirected,,1
487384614,292217872,Undirected,,1
487384614,308254530,Undirected,,1
487384614,309928141,Undirected,,1
487384614,315999216,Undirected,,1
487384614,317270138,Undirected,,1
487384614,318970207,Undirected,,1
487384614,325011513,Undirected,,1
487384614,330620928,Undirected,,1
487384614,332932430,Undirected,,1
487384614,336413752,Undirected,,1
487384614,352439937,Undirected,,1
487384614,357054115,Undirected,,1
487384614,364893439,Undirected,,1
487384614,368431177,Undirected,,1
487384614,370325886,Undirected,,1
487384614,372346671,Undirected,,1
487384614,376457885,Undirected,,1
487384614,378925040,Undirected,,1
487384614,382856030,Undirected,,1
487384614,404317765,Undirected,,1
487384614,421883097,Undirected,,1
487384614,423366982,Undirected,,1
487384614,436238126,Undirected,,1
487384614,436511296,Undirected,,1
487384614,445737275,Undirected,,1
487384614,449381764,Undirected,,1
487384614,454246475,Undirected,,1
487384614,480180104,Undirected,,1
487384614,498805597,Undirected,,1
487384614,500538288,Undirected,,1
487384614,503475157,Undirected,,1
487384614,509243017,Undirected,,1
487384614,516630387,Undirected,,1
487384614,530233205,Undirected,,1
487384614,535787452,Undirected,,1
487384614,543059180,Undirected,,1
487384614,550760976,Undirected,,1
487384614,559664022,Undirected,,1
487384614,562588903,Undirected,,1
487384614,618221910,Undirected,,1
487384614,643794884,Undirected,,1
487384614,649151468,Undirected,,1
487384614,673317842,Undirected,,1
487384614,739679498,Undirected,,1
487384614,788928849,Undirected,,1
487384614,813360381,Undirected,,1
156276864,1680584,Undirected,,1
156276864,3718775,Undirected,,1
